id_contrato;ano_mes;mes_vida;saldo_devedor;status_mes
CTR-000001;2024-04;1;110890,16;ativo
CTR-000001;2024-05;2;109432,74;ativo
CTR-000001;2024-06;3;107946,7;ativo
CTR-000001;2024-07;4;106431,49;ativo
CTR-000001;2024-08;5;104886,53;ativo
CTR-000001;2024-09;6;103311,23;ativo
CTR-000001;2024-10;7;101705,01;ativo
CTR-000001;2024-11;8;100067,26;ativo
CTR-000001;2024-12;9;98397,35;ativo
CTR-000001;2025-01;10;96694,65;ativo
CTR-000001;2025-02;11;94958,53;ativo
CTR-000001;2025-03;12;93188,32;ativo
CTR-000001;2025-04;13;91383,36;ativo
CTR-000001;2025-05;14;89542,95;ativo
CTR-000001;2025-06;15;87666,42;ativo
CTR-000001;2025-07;16;85753,05;ativo
CTR-000001;2025-08;17;83802,11;ativo
CTR-000001;2025-09;18;81812,86;ativo
CTR-000001;2025-10;19;79784,56;ativo
CTR-000001;2025-11;20;77716,45;ativo
CTR-000001;2025-12;21;75607,72;ativo
CTR-000001;2026-01;22;73457,6;ativo
CTR-000001;2026-02;23;71265,26;ativo
CTR-000001;2026-03;24;69029,88;ativo
CTR-000002;2018-10;1;20064,42;ativo
CTR-000002;2018-11;2;19639,74;ativo
CTR-000002;2018-12;3;19207,87;ativo
CTR-000002;2019-01;4;18768,68;ativo
CTR-000002;2019-02;5;18322,05;ativo
CTR-000002;2019-03;6;17867,84;ativo
CTR-000002;2019-04;7;17405,94;ativo
CTR-000002;2019-05;8;16936,22;ativo
CTR-000002;2019-06;9;16458,53;ativo
CTR-000002;2019-07;10;15972,75;ativo
CTR-000002;2019-08;11;15478,73;ativo
CTR-000002;2019-09;12;14976,35;ativo
CTR-000002;2019-10;13;14465,45;ativo
CTR-000002;2019-11;14;13945,89;ativo
CTR-000002;2019-12;15;13417,53;ativo
CTR-000002;2020-01;16;12880,22;ativo
CTR-000002;2020-02;17;12333,8;ativo
CTR-000002;2020-03;18;11778,12;ativo
CTR-000002;2020-04;19;11213,02;ativo
CTR-000002;2020-05;20;10638,35;ativo
CTR-000002;2020-06;21;10053,94;ativo
CTR-000002;2020-07;22;9459,63;ativo
CTR-000002;2020-08;23;8855,24;ativo
CTR-000002;2020-09;24;8240,62;ativo
CTR-000002;2020-10;25;7615,57;ativo
CTR-000002;2020-11;26;6979,94;ativo
CTR-000002;2020-12;27;6333,53;ativo
CTR-000002;2021-01;28;5676,17;ativo
CTR-000002;2021-02;29;5007,67;ativo
CTR-000002;2021-03;30;4327,85;ativo
CTR-000002;2021-04;31;3636,5;ativo
CTR-000002;2021-05;32;2933,43;ativo
CTR-000002;2021-06;33;2218,45;ativo
CTR-000002;2021-07;34;1491,36;ativo
CTR-000002;2021-08;35;751,95;ativo
CTR-000002;2021-09;36;0,0;ativo
CTR-000003;2023-12;1;119941,82;ativo
CTR-000003;2024-01;2;118630,56;ativo
CTR-000003;2024-02;3;117300,64;ativo
CTR-000003;2024-03;4;115951,8;ativo
CTR-000003;2024-04;5;114583,77;ativo
CTR-000003;2024-05;6;113196,27;ativo
CTR-000003;2024-06;7;111789,04;ativo
CTR-000003;2024-07;8;110361,78;ativo
CTR-000003;2024-08;9;108914,21;ativo
CTR-000003;2024-09;10;107446,05;ativo
CTR-000003;2024-10;11;105956,99;ativo
CTR-000003;2024-11;12;104446,76;ativo
CTR-000003;2024-12;13;102915,03;ativo
CTR-000003;2025-01;14;101361,51;ativo
CTR-000003;2025-02;15;99785,89;ativo
CTR-000003;2025-03;16;98187,85;ativo
CTR-000003;2025-04;17;96567,07;ativo
CTR-000003;2025-05;18;94923,23;ativo
CTR-000003;2025-06;19;93256,01;ativo
CTR-000003;2025-07;20;91565,06;ativo
CTR-000003;2025-08;21;89850,05;ativo
CTR-000003;2025-09;22;88110,65;ativo
CTR-000003;2025-10;23;86346,49;ativo
CTR-000003;2025-11;24;84557,23;ativo
CTR-000003;2025-12;25;82742,52;ativo
