cpf_anonimizado;valor_contrato;prazo_meses;taxa_juros_mensal;taxa_juros_anual;parcela_mensal;data_inicio;data_vencimento;meses_decorridos;saldo_devedor;status;valor_em_atraso;data_inadimplencia;data_retorno_pagamento
ANON-A138AD850D81;22357,99;60;1,9674;26,3386;638,13;2015-01-05;2020-01-05;60;0,0;ativo;0,0;;
ANON-FB57FCC48083;76580,05;24;1,6843;22,1931;3905,52;2015-01-06;2017-01-06;24;0,0;ativo;0,0;;
ANON-1D21871474D0;136580,64;24;2,3748;32,5308;7531,38;2015-01-10;2017-01-10;24;0,0;ativo;0,0;;
ANON-09F1DF29F82C;101125,7;12;1,8248;24,2347;9459,81;2015-01-11;2016-01-11;12;0,0;ativo;0,0;;
ANON-4C568C933F10;120778,53;12;1,6542;21,7598;11179,61;2015-01-13;2016-01-13;12;0,0;inadimplente;11179,61;2016-11-14;
ANON-F51DCBC7AA3B;68231,08;24;1,6984;22,3966;3485,38;2015-01-14;2017-01-14;24;0,0;ativo;0,0;;
ANON-32EF7C411C2B;146142,33;60;1,7189;22,693;3923,02;2015-01-16;2020-01-16;60;0,0;ativo;0,0;;
ANON-C63F0EFE7857;84082,19;36;1,8416;24,4809;3215,45;2015-01-16;2018-01-16;36;0,0;ativo;0,0;;
ANON-799FCEB0183C;42443,87;72;2,2852;31,1456;1207,21;2015-01-20;2021-01-20;72;0,0;ativo;0,0;;
ANON-F6B4CCBC34B8;12142,45;48;2,1932;29,737;411,59;2015-01-21;2019-01-21;48;0,0;ativo;0,0;;
ANON-DA9682AC6AD5;49371,91;12;2,0322;27,3055;4677,83;2015-01-23;2016-01-23;12;0,0;ativo;0,0;;
ANON-9068EA0C442F;116007,22;60;1,4621;19,0272;2917,19;2015-01-24;2020-01-24;60;0,0;ativo;0,0;;
ANON-0344690271D9;121153,41;84;2,3294;31,8272;3298,95;2015-01-28;2022-01-28;84;0,0;ativo;0,0;;
ANON-D5FA74F08731;15613,89;36;2,2188;30,1276;634,31;2015-01-29;2018-01-29;36;0,0;ativo;0,0;;
ANON-68A52A4E9428;89683,21;36;1,8337;24,365;3425,25;2015-02-01;2018-02-01;36;0,0;ativo;0,0;2016-04-09;2019-12-25
ANON-24FF900418A1;2857,38;48;1,6309;21,4253;86,3;2015-02-01;2019-02-01;48;0,0;inadimplente;86,3;2022-09-18;
ANON-BCBEEE5AEA8C;38052,52;84;1,9021;25,3711;910,9;2015-02-05;2022-02-05;84;0,0;ativo;0,0;;
ANON-C0A737374F0C;67841,07;48;1,8294;24,302;2135,67;2015-02-05;2019-02-05;48;0,0;ativo;0,0;;
ANON-B135B11B8C4B;148659,04;60;2,1463;29,0244;4429,44;2015-02-08;2020-02-08;60;0,0;ativo;0,0;2021-02-05;2022-09-15
ANON-B6B75700B7BC;102892,86;36;1,9495;26,0727;4004,11;2015-02-08;2018-02-08;36;0,0;ativo;0,0;;
ANON-A7ED53BA1AC2;71547,83;24;2,1046;28,3937;3827,78;2015-02-10;2017-02-10;24;0,0;liquidado;0,0;;
ANON-617DA226A65F;40304,12;60;1,4736;19,1892;1016,53;2015-02-12;2020-02-12;60;0,0;inadimplente;1016,53;2024-11-19;
ANON-2E9F76B4C789;84787,09;48;2,0318;27,2995;2782,13;2015-02-17;2019-02-17;48;0,0;ativo;0,0;2019-06-11;2020-02-26
ANON-9E613070A1D9;16041,73;12;1,8798;25,0423;1505,72;2015-02-17;2016-02-17;12;0,0;ativo;0,0;;
ANON-61C018078D6A;137881,03;48;1,6662;21,9324;4195,36;2015-02-21;2019-02-21;48;0,0;liquidado;0,0;;
ANON-FC191399FD7E;37841,23;60;1,9505;26,0876;1075,61;2015-02-24;2020-02-24;60;0,0;ativo;0,0;;
ANON-61F6B44C6819;106111,95;84;1,8175;24,1278;2473,34;2015-02-26;2022-02-26;84;0,0;ativo;0,0;;
ANON-167109A0B1C0;87819,69;84;1,984;26,5857;2156,37;2015-02-27;2022-02-27;84;0,0;liquidado;0,0;;
ANON-1CA4C67EDD2A;17137,91;12;2,2428;30,4947;1644,82;2015-03-07;2016-03-07;12;0,0;inadimplente;1644,82;2025-07-17;
ANON-9D22CFCD86D1;45967,21;72;1,4848;19,3471;1043,68;2015-03-08;2021-03-08;72;0,0;liquidado;0,0;;
ANON-7A0C02931C63;48014,98;12;1,7568;23,2427;4472,74;2015-03-08;2016-03-08;12;0,0;ativo;0,0;;
ANON-DB913B2F61BE;30424,83;72;1,8405;24,4647;766,01;2015-03-10;2021-03-10;72;0,0;ativo;0,0;2019-06-17;2023-04-14
ANON-3E58BA8011A6;62936,83;36;1,9794;26,5172;2461,03;2015-03-11;2018-03-11;36;0,0;ativo;0,0;2017-11-28;2024-08-01
ANON-7F784A5FAB8E;98232,52;96;1,9846;26,5946;2297,86;2015-03-13;2023-03-13;96;0,0;liquidado;0,0;;
ANON-53E7F629CC31;23597,89;48;1,9705;26,3847;764,72;2015-03-14;2019-03-14;48;0,0;liquidado;0,0;;
ANON-DB3E81DEEE49;109809,6;24;2,1399;28,9274;5898,17;2015-03-15;2017-03-15;24;0,0;ativo;0,0;;
ANON-CE73276AC1ED;33302,33;12;1,8778;25,0129;3125,47;2015-03-20;2016-03-20;12;0,0;ativo;0,0;;
ANON-B7C849CE3572;2666,83;24;2,236;30,3906;144,8;2015-03-21;2017-03-21;24;0,0;liquidado;0,0;2024-03-18;2025-08-17
ANON-1A69AD32D230;38200,89;60;2,383;32,6582;1203,19;2015-03-24;2020-03-24;60;0,0;inadimplente;1203,19;2015-09-10;
ANON-F1C834B6D75F;77184,59;72;2,1471;29,0365;2115,52;2015-03-24;2021-03-24;72;0,0;ativo;0,0;;
ANON-014787312FC3;125910,22;84;2,2685;30,8888;3368,02;2015-03-25;2022-03-25;84;0,0;liquidado;0,0;;
ANON-E979A41CE747;6773,95;24;1,593;20,8831;341,85;2015-03-26;2017-03-26;24;0,0;liquidado;0,0;;
ANON-C8BDDDBC52B7;86163,9;84;1,6705;21,9943;1915,76;2015-03-26;2022-03-26;84;0,0;ativo;0,0;2019-01-13;2023-09-29
ANON-406A965EE142;1147,51;60;1,681;22,1456;30,51;2015-03-28;2020-03-28;60;0,0;ativo;0,0;2025-10-19;2026-03-02
ANON-E0B80B1DEE8D;31583,72;12;1,8916;25,2162;2966,7;2015-03-28;2016-03-28;12;0,0;ativo;0,0;2022-11-21;2025-10-12
ANON-B560B96ACA85;81038,72;48;1,9648;26,3;2623,12;2015-03-29;2019-03-29;48;0,0;ativo;0,0;;
ANON-1CA7523A587E;104085,21;84;2,2174;30,1062;2742,57;2015-04-01;2022-04-01;84;0,0;ativo;0,0;;
ANON-8B5AC6D6916A;62812,95;84;2,073;27,9177;1584,92;2015-04-04;2022-04-04;84;0,0;ativo;0,0;;
ANON-98D2010269DC;117438,41;12;1,6979;22,3894;10899,93;2015-04-05;2016-04-05;12;0,0;ativo;0,0;;
ANON-9710B0979412;21886,78;96;1,4281;18,5494;420,3;2015-04-06;2023-04-06;96;0,0;liquidado;0,0;;
ANON-C71D872FB2A9;63592,45;84;1,4611;19,0131;1319,23;2015-04-07;2022-04-07;84;0,0;ativo;0,0;2018-05-25;2018-11-15
ANON-B6CB009EC06E;114548,88;84;1,4101;18,2972;2335,69;2015-04-07;2022-04-07;84;0,0;liquidado;0,0;;
ANON-3F4C4D1403E3;87605,81;24;1,6744;22,0505;4462,74;2015-04-08;2017-04-08;24;0,0;liquidado;0,0;;
ANON-12E70F7F88AB;49843,35;24;1,5242;19,9043;2495,38;2015-04-13;2017-04-13;24;0,0;ativo;0,0;2019-05-23;2019-09-12
